time,flux
40.0,0.9993587136268616
41.0,0.9993855357170105
42.0,0.9993398189544678
43.0,0.9992653131484985
44.0,0.9991980791091919
45.0,0.9991565346717834
46.0,0.9991366863250732
47.0,0.9990900158882141
48.0,0.9989737868309021
49.0,0.9988770484924316
50.0,0.998847246170044
51.0,0.9988906383514404
52.0,0.9990014433860779
53.0,0.9991154074668884
54.0,0.9992358684539795
55.0,0.9993270039558411
56.0,0.9993472099304199
57.0,0.9994194507598877
58.0,0.9994789958000183
59.0,0.9994693994522095
60.0,0.9994644522666931
61.0,0.9994229078292847
62.0,0.9993392825126648
63.0,0.999241054058075
64.0,0.9991120100021362
65.0,0.9989885687828064
66.0,0.9989247918128967
67.0,0.998824417591095
68.0,0.9987173676490784
69.0,0.9986388087272644
70.0,0.998618483543396
71.0,0.998623251914978
72.0,0.9986022710800171
73.0,0.9985590577125549
74.0,0.9985551238059998
75.0,0.9985361695289612
76.0,0.9985899329185486
77.0,0.9986971020698547
78.0,0.9988372921943665
79.0,0.999024510383606
80.0,0.9991937875747681
81.0,0.9992634654045105
82.0,0.9993217587471008
83.0,0.9993394613265991
84.0,0.9993253946304321
85.0,0.999314546585083
86.0,0.9992729425430298
87.0,0.9991980791091919
88.0,0.9991180896759033
89.0,0.9990416765213013
90.0,0.9989475011825562
91.0,0.9987975358963013
92.0,0.9986045956611633
93.0,0.9983862042427063
94.0,0.9982149004936218
95.0,0.9981181621551514
96.0,0.9980608820915222
97.0,0.9980076551437378
98.0,0.9980074763298035
99.0,0.9980666637420654
100.0,0.9981492161750793
101.0,0.9983202815055847
102.0,0.9984697103500366
103.0,0.9986547827720642
104.0,0.998860776424408
105.0,0.9990371465682983
106.0,0.9991279244422913
107.0,0.9991836547851562
108.0,0.9991863965988159
109.0,0.9991909265518188
110.0,0.99921715259552
111.0,0.9991965293884277
112.0,0.9991318583488464
113.0,0.9990739822387695
114.0,0.9989977478981018
115.0,0.9988356828689575
116.0,0.998650074005127
117.0,0.9984363317489624
118.0,0.9982367753982544
119.0,0.9980819225311279
120.0,0.9979937672615051
121.0,0.9979600310325623
122.0,0.9979441165924072
123.0,0.9979825615882874
124.0,0.9980777502059937
125.0,0.9982010126113892
126.0,0.9983499646186829
127.0,0.9984759092330933
128.0,0.9986497759819031
129.0,0.9988487958908081
130.0,0.9990109205245972
131.0,0.9991071224212646
132.0,0.9991826415061951
133.0,0.9992142915725708
134.0,0.9992290139198303
135.0,0.9992514252662659
136.0,0.9992485046386719
137.0,0.9991915822029114
138.0,0.9991239309310913
139.0,0.9990402460098267
140.0,0.9988263845443726
141.0,0.9985920786857605
142.0,0.9983260035514832
143.0,0.9981198310852051
144.0,0.9979680180549622
145.0,0.9978848695755005
146.0,0.9978511333465576
147.0,0.997846782207489
148.0,0.9979063272476196
149.0,0.9980162382125854
150.0,0.9981170296669006
151.0,0.9981973171234131
152.0,0.9982954859733582
153.0,0.998412549495697
154.0,0.9985926151275635
155.0,0.9987773299217224
156.0,0.9989168047904968
157.0,0.9990360736846924
158.0,0.9991264939308167
159.0,0.9992070198059082
160.0,0.9992942214012146
161.0,0.9992082715034485
162.0,0.9990654587745667
163.0,0.9989117980003357
164.0,0.9987157583236694
165.0,0.998429000377655
166.0,0.9982109069824219
167.0,0.9980030655860901
168.0,0.997847318649292
169.0,0.9977610111236572
170.0,0.9977149963378906
171.0,0.997696578502655
172.0,0.9976577162742615
173.0,0.9976345896720886
174.0,0.9976897239685059
175.0,0.9977638721466064
176.0,0.9978278875350952
177.0,0.9979570508003235
178.0,0.9981358647346497
179.0,0.9983701705932617
180.0,0.998614490032196
181.0,0.9988102316856384
182.0,0.9989850521087646
183.0,0.9991023540496826
184.0,0.9991934299468994
185.0,0.9992436170578003
186.0,0.999100387096405
187.0,0.9989003539085388
188.0,0.9987021684646606
189.0,0.9984316229820251
190.0,0.9980813264846802
191.0,0.9978039860725403
192.0,0.9975587725639343
193.0,0.9973494410514832
194.0,0.9972979426383972
195.0,0.997359037399292
196.0,0.9974693059921265
197.0,0.9975172281265259
198.0,0.997576117515564
199.0,0.9976152777671814
